id,donation_items,custom_item,contact_info,pickup_location,donation_location,pickup_location_coords,donation_location_coords,preferred_pickup_date,is_date_flexible,donation_type,special_instructions,organization_name,organization_contact,total_estimated_value,item_condition,photo_urls,calculated_distance_km,calculated_duration_seconds,calculated_duration_text,distance_provider,status,created_at,updated_at,elevator_available,floor,preferred_time_span
1,"[{""condition"": ""good"", ""description"": ""ddd""}]",,"{""email"": ""muhammadibnerafiq@gmail.com"", ""phone"": ""+31645421019"", ""lastName"": ""eeew"", ""firstName"": ""we""}","Kaya Wewe Helburg, Brievengat, Curacao, 0000 CW, Netherlands",,,,,true,charity,,,,,good,[],,,,,pending,2025-07-22 12:36:36.555+00,2025-07-22 12:36:36.805863+00,false,,
2,"[{""condition"": ""good"", ""description"": ""jhjbhk""}]",,"{""email"": ""testnewuser12345@gmail.com"", ""phone"": ""+31645532019"", ""lastName"": ""Rafiq"", ""firstName"": ""teistng""}",kjkadsd,,,,,true,charity,,,,,good,[],,,,,pending,2025-07-22 12:42:52.533+00,2025-07-22 12:42:52.832543+00,false,,
6,"[{""condition"": ""good"", ""description"": ""wqwq""}]",,"{""email"": ""muhammadibnerafiq@gmail.com"", ""phone"": ""+3164543219"", ""lastName"": ""Rafiq"", ""firstName"": ""teistng""}","Eindhoven, Netherlands",,,,,true,charity,,,,,good,[],,,,,pending,2025-07-28 10:30:30.971+00,2025-07-28 10:30:31.471427+00,true,2,anytime
7,"[{""condition"": ""good"", ""description"": ""dd""}]",,"{""email"": ""muhammadibnerafiq@gmail.com"", ""phone"": ""+31645429229"", ""lastName"": ""Rafiq"", ""firstName"": ""ANOTHER""}","Eindhoven, Netherlands",,,,,true,charity,,,,,good,[],,,,,pending,2025-07-28 10:39:41.932+00,2025-07-28 10:39:42.43835+00,true,3,
8,"[{""condition"": ""like new"", ""description"": ""asdsad""}]",,"{""email"": ""testnewuser12345@gmail.com"", ""phone"": ""+3184838384"", ""lastName"": ""Rafiq"", ""firstName"": ""fixed date test""}","Amsterdam, Netherlands",,,,,true,charity,,,,,like new,"[""https://yhlenudckwewmejigxvl.supabase.co/storage/v1/object/public/special-requests/6f6417d3-c16e-4614-9d57-23718e93cc0e.jpg""]",,,,,approved,2025-07-28 10:47:31.262+00,2025-07-28 10:57:43.386687+00,true,3,afternoon
9,"[{""condition"": ""like new"", ""description"": ""sffdsfsdf""}]",,"{""email"": ""muhammadibnerafiq@gmail.com"", ""phone"": ""+34565434"", ""lastName"": ""Rafiq"", ""firstName"": ""Muhammad""}",qwewqrewr,,,,,true,charity,,,,,like new,"[""https://yhlenudckwewmejigxvl.supabase.co/storage/v1/object/public/special-requests/ba68cb64-100a-4e9b-898a-883b21d95751.jpg""]",,,,,pending,2025-07-29 15:19:47.984+00,2025-07-29 15:19:48.812476+00,false,33,morning
10,"[{""condition"": ""like new"", ""description"": ""sffdsfsdf""}]",,"{""email"": ""muhammadibnerafiq@gmail.com"", ""phone"": ""+34565434"", ""lastName"": ""Rafiq"", ""firstName"": ""Muhammad""}",qwewqrewr,,,,,true,charity,,,,,like new,"[""https://yhlenudckwewmejigxvl.supabase.co/storage/v1/object/public/special-requests/9316e97d-b254-4ec4-b00e-2a7862df79a9.jpg""]",,,,,pending,2025-07-29 15:20:31.911+00,2025-07-29 15:20:32.732847+00,false,33,morning
11,"[{""condition"": ""like new"", ""description"": ""sffdsfsdf""}]",,"{""email"": ""muhammadibnerafiq@gmail.com"", ""phone"": ""+34565434"", ""lastName"": ""Rafiq"", ""firstName"": ""Muhammad""}",qwewqrewr,,,,,true,charity,,,,,like new,"[""https://yhlenudckwewmejigxvl.supabase.co/storage/v1/object/public/special-requests/ffcbd7a2-d063-4336-b72d-1532f15e88d3.jpg""]",,,,,pending,2025-07-29 15:22:46.204+00,2025-07-29 15:22:47.054475+00,false,33,morning
12,"[{""condition"": ""needs repair"", ""description"": ""etretert""}]",,"{""email"": ""muhammadibnerafiq123@gmail.com"", ""phone"": ""+234543"", ""lastName"": ""Rafiq"", ""firstName"": ""Muhammad""}",dfgdfg,,,,,true,charity,,,,,needs repair,"[""https://yhlenudckwewmejigxvl.supabase.co/storage/v1/object/public/special-requests/85dba393-73fd-4172-a278-6b315bda8d57.jpg""]",,,,,pending,2025-07-29 15:42:13.264+00,2025-07-29 15:42:14.111156+00,true,44,afternoon
13,"[{""condition"": ""needs repair"", ""description"": ""etretert""}]",,"{""email"": ""muhammadibnerafiq123@gmail.com"", ""phone"": ""+234543"", ""lastName"": ""Rafiq"", ""firstName"": ""Muhammad""}",dfgdfg,,,,,true,charity,,,,,needs repair,"[""https://yhlenudckwewmejigxvl.supabase.co/storage/v1/object/public/special-requests/1acf7180-dec8-46f8-b2e9-99a18e6502af.jpg""]",,,,,pending,2025-07-29 15:43:36.408+00,2025-07-29 15:43:37.24245+00,true,44,afternoon
